id_venda,data_venda,id_cliente,id_produto,quantidade,preco_unitario,valor_total,estado
1001,2026-08-01,CLI001,PROD001,2,150.0,300.0,SP
1002,2026-08-02,CLI002,PROD003,1,89.9,89.9,RJ
1003,2026-08-03,CLI003,PROD002,5,45.5,227.5,PE
1004,2026-08-04,CLI004,PROD005,3,120.0,360.0,MG
1005,2026-08-05,CLI001,PROD004,2,75.25,150.5,SP
1006,2026-08-06,CLI005,PROD001,1,150.0,150.0,BA
1007,2026-08-07,CLI006,PROD006,4,32.9,131.6,PR
1008,2026-08-08,CLI002,PROD002,2,45.5,91.0,RJ
1009,2026-08-09,CLI007,PROD003,3,89.9,269.7,PE
1010,2026-08-10,CLI008,PROD005,1,120.0,120.0,SC
1011,2026-08-11,CLI003,PROD004,6,75.25,451.5,PE
1012,2026-08-12,CLI009,PROD001,2,150.0,300.0,RS
1013,2026-08-13,CLI010,PROD006,5,32.9,164.5,CE
1014,2026-08-14,CLI004,PROD002,3,45.5,136.5,MG
1015,2026-08-15,CLI005,PROD003,2,89.9,179.8,BA
